Region,Air Purifier: (01/01/2022 - 03/08/2025)
Delhi,100
Haryana,71
Mizoram,44
Chandigarh,36
Puducherry,34
Telangana,34
Karnataka,33
Maharashtra,32
Tamil Nadu,29
Daman and Diu,29
Uttar Pradesh,28
Goa,28
Punjab,28
Dadra and Nagar Haveli,26
Kerala,25
Andhra Pradesh,22
Nagaland,20
Andaman and Nicobar Islands,19
Manipur,19
Gujarat,19
Uttarakhand,19
West Bengal,17
Jammu & Kashmir,17
Odisha,15
Arunachal Pradesh,15
Rajasthan,14
Chhattisgarh,14
Sikkim,14
Jharkhand,14
Tripura,14
Himachal Pradesh,13
Madhya Pradesh,13
Assam,12
Meghalaya,11
Bihar,10
